time,T_Cu1,T_Cu2,T_Inco1a,T_Inco1,T_H25a,T_H25b,T_Inco2,T_Inco2a,T_Cu3,T_Cu4
1,99.0173655929735,80.1663803759794,72.2138414887235,69.5376796932194,68.0270603798762,64.935666063137,63.5837402477331,60.6170369639541,53.697968222973,51.2409604058431
2,100.537199754764,83.1948315375736,76.1078474342213,70.1911862767334,65.6235892639679,64.9622462459347,62.4298353428657,58.6871896710711,52.7802490791367,49.5361424159187
3,98.8945115496673,83.5360157746933,75.3337294525312,69.5129712040652,68.0179346410518,66.3284455357236,59.8260958834951,55.8743143596244,52.1778971539715,50.7730495940724
4,101.497811700981,85.0340101975143,76.9516835055748,73.9518160391772,66.600009409252,66.611040268556,59.7781479748709,55.0021254878645,50.1609386658613,49.9036265149524
5,101.480845589655,89.3248612630793,79.8411279318606,72.4766080335026,66.8675893115117,66.9178406523938,59.2128948987917,55.355714445371,50.7562820817659,50.2178536676857
6,102.270434516963,89.2738782561856,81.6182755513891,73.9047427278145,68.4053527480209,64.1966421963767,57.8133625595018,54.9436901771959,51.3719601041663,49.9439887833494
7,99.7216908266617,88.0312195360211,81.0801913916355,75.0105060942145,67.7838241684686,64.7820209004322,56.9975815224856,54.7834173297405,50.6350296209271,50.1311340803103
8,99.7844140632653,91.3966050738827,84.2123375078235,75.1284056793426,66.3891237154238,65.6667909849095,57.6050364015971,53.9099279499279,50.8235835120438,49.188291347709
9,100.499085691452,90.24504416548,86.1697464284241,78.0607682476683,65.6782947856391,65.4005742907744,56.9152806399347,52.3227977564548,50.6324091492038,50.2181121725407
10,101.713109157353,93.6741268212647,86.8936890099233,77.9859590337436,65.7921674611567,65.331930122196,57.8527459412865,53.340575193068,51.0338147885684,49.1370038277979
11,97.6560022647589,94.7409377709429,85.5479612302942,79.513441060404,68.5599268975579,64.4994203758642,56.741070492004,51.7925137089079,49.3220483825315,49.8636313751053
12,98.436350708081,92.8407697624377,86.5582227801279,82.5459659091691,67.394096805382,66.9010221474443,57.2901502806389,53.5365636814511,50.3811425359461,50.0940535568086
13,102.21797199676,92.4123754097323,86.6978415053861,83.2443075649637,67.4961719066448,65.8354739847325,56.0898037536566,53.1553920367233,49.6996632381173,49.9047502874394
14,102.239610693788,95.8344831898652,88.5171821410212,80.7099655539277,68.1737932976411,66.8706430293369,54.6850423866905,52.8974199994527,49.9546483546349,50.8352742722278
15,99.7649219560157,94.118090073826,88.5706771878924,83.3230942279666,69.6463856805522,66.6118312146753,54.5420643738277,51.838600871152,50.4812384443887,51.2404307738241
16,101.554162755786,94.1552857428488,88.8935727094541,82.9740998551585,68.2014665951392,65.109103369833,54.9025665055369,53.0535478674262,50.9542268213826,51.1806106828216
17,102.14439600355,94.2184726207442,92.3210969494711,85.050519631565,69.1025962628216,66.1300700483408,55.39305799285,53.0317978003322,50.111933569978,50.6148234315683
18,100.863586404943,93.8685720811122,90.3556294947531,84.7481131857953,67.5684388916253,68.5081269292286,56.3280585730705,51.9972253521374,50.3453953865492,49.2498923824891
19,99.3616613981991,96.4384407721214,90.6605029929758,84.1076479183916,68.6208021889624,68.5811641317011,54.7426335099833,51.1540863264607,49.3878488692209,48.8408230900494
20,99.5284784549067,95.9512316781623,91.9973543080803,85.5334830298327,68.1777350773073,66.909025846766,55.0608744080083,53.2581965416554,49.6004172468818,49.2215101643665
21,99.6941196089601,97.8257526054995,89.9176608382952,87.4939230738571,68.7428204805671,67.9059996990972,56.0785143892283,53.0542050709769,49.794273113442,50.1938683715555
22,100.893246003516,96.7370697856444,90.8393592648669,87.3015645504685,69.4268334968312,67.9109518947461,55.0914093409882,52.366200848485,50.1881572045136,50.3206808564627
23,99.825351643718,96.40360330334,93.5026034541082,85.3673896147975,69.2604435735544,69.0119809922468,55.205556506648,52.8819454726867,49.6600324794341,49.6619368785553
24,102.266320840631,94.9792124821027,93.0630884127792,85.4919680052682,69.2777340492038,69.6377122870858,54.7662716496872,53.1060601693921,49.7178940396,50.3413950239724
25,99.2734899106802,95.848668626063,91.5456714496563,86.7036686666353,70.9563304316066,66.8189541942419,55.4440903917518,51.9080452542256,51.2991696744953,50.9782336452704
26,99.1951043092566,97.5731928337598,94.7424106510859,89.1182067332644,71.7478330351909,69.7819209391338,56.8969682160897,53.4445746760639,50.5318648747108,49.3837955186342
27,101.979300233587,97.0314522783222,92.9731108452049,88.5869120860636,69.8540555766864,68.8511771328542,56.91515045405,52.5751188545003,51.4202767185428,49.4658983448514
28,100.227171291292,99.5198261306979,93.708396556847,88.5912271777812,72.4891008485354,67.7648731879878,55.5781305271933,51.8333878290927,50.6155344611346,49.0635479406136
29,101.246418586657,95.4850960206208,93.7858310909267,86.6266157371761,72.1446952771925,68.0315853418463,56.4109875343311,51.794363521737,49.6933284454313,50.0714344318708
30,98.1243859956893,97.4549416967167,92.320679724649,86.541386251173,71.5820205411232,69.875894827023,55.2738039827308,53.4454923774781,49.3227347472194,50.8019159049778
31,99.7661740906075,97.9879528558279,91.9637563686219,90.2451230743229,73.3125829367061,69.6672866801891,57.2755153908452,52.0901920370355,50.4419143149622,49.4994386502603
32,97.8737471922788,96.0777967952784,93.8796542929479,88.3915985949418,72.0341612596898,69.7947308937827,56.4134958227439,51.5424762919933,50.1834938323425,50.7191972935339
33,100.816703067967,98.1285182268762,91.9489377895468,88.8436246765731,70.9515822074142,71.2848482635108,55.2909518116124,53.6513685901272,50.8124107302529,49.8425314326019
34,101.01825820964,99.7330335788244,93.9544951417155,88.8649157832527,73.4183019992428,70.092173058592,55.066257288709,52.8961627939777,50.9861261657405,50.1263492903688
35,102.094752841541,96.5515109252881,94.6278740527618,89.2447572665934,73.5914588953707,68.5558619357489,56.396500849021,53.7866977455453,50.0828317458974,51.2152861844568
36,100.800359542005,96.3880420767499,95.0970312199827,88.2811638412456,71.7565662775426,68.9311063228287,55.6252285899764,51.7362841845854,50.5084250279576,50.4744524603125
37,100.950524596408,95.9663660416313,92.3206653424909,88.215277285579,71.9490373045875,68.841392754409,55.1006714387589,53.4246527094883,49.6004639972459,51.1753419415757
38,101.768618049058,98.9465855663332,95.589193708051,91.3122824929577,73.9519468353393,69.1284403391519,55.3928135571012,52.5643457913256,51.4607567387238,48.9899145960754
39,99.8395086134215,95.8273596605202,93.1002459685919,91.4569988291232,72.8221628949553,71.1075764501928,55.1311409980932,52.8390680930551,50.3792803906536,50.995230593526
40,99.7923934095964,97.1967897909495,95.1718490741867,90.1856848954336,71.3428343424001,71.1215883294311,56.9573453645029,51.422292712078,49.7864502562352,48.8961077335315
41,101.530520937246,100.579784033538,95.3013580657096,89.2049087328235,74.1176317558218,70.2967862771954,57.2868792424193,52.8083155166093,49.6704827718936,49.0582953776869
42,101.623836181156,99.5795652079902,96.1363345200016,90.3370753440549,72.9517180298381,69.669332990219,57.4029432419842,53.0088440146929,51.4953753246207,50.326814358421
43,98.4521805159395,97.0442573024718,92.7911422567173,90.7307400454022,72.5273648147217,70.5831575456927,55.9113680333227,52.670363471287,50.8345034680463,49.6752608642847
44,97.6283660415914,99.22252732138,96.6288879084854,91.8234105142448,72.8322330989673,72.1484622744699,57.7373523927648,51.5327862262346,50.883477512362,49.5489306843244
45,97.7840748024776,96.5677116564518,94.4405488783809,88.2573861349986,73.0593165260932,70.8285371431213,56.9619251345796,52.7501523546766,50.7576253945321,50.7392358279835
46,98.2146779014646,99.0051390585318,94.4226896491888,88.1648315791643,76.2393182052706,71.0167371695917,56.9434170595782,51.6336009389351,51.0684547690652,49.5042620291864
47,98.3570936877722,100.113755939078,93.6796506376471,86.8541070129001,73.6280454712487,69.5586111822866,58.7629553263378,54.0735638760047,50.591489623908,50.268654220955
48,100.629223906653,100.286437961332,94.397932472862,87.1597112941466,76.2742255139793,71.0269785282654,59.9332681667507,53.7607543983331,50.4379837708753,49.9049306079128
49,97.6475760386195,97.5270847845321,92.8882734659206,86.5420532258844,76.8620710441386,72.1167387354323,60.6954765965963,54.3138498812463,51.4284807844131,49.4814817276377
50,99.8616613262439,98.1527270491088,92.9982463859135,84.8446035521689,74.6864530878992,69.9087297362668,60.5320062113558,54.4376327362007,50.2402918802454,50.8310473910602
51,100.892213851836,99.0495798186075,92.7466877473436,84.1339868735341,76.1299902673682,71.0241731783841,61.9528416257933,54.5698344102061,49.8920584593103,50.176314893433
52,98.0739448458263,99.1209837577165,93.9249883309146,83.5916635095192,74.5696833308156,69.8487362409477,60.1686403532712,55.6281992449467,50.0164305804682,48.9262702846419
53,98.6803196199816,97.8825677154042,93.9784641891703,83.7033741555802,76.0908860258707,70.0309709571833,62.922470437581,53.6423455311728,51.6137576462488,49.4157792271912
54,98.9454030107562,97.3680507250416,95.4208280101305,84.7592515611519,74.0692155698182,69.8858793555216,62.6620791365263,54.5599532364027,51.1201191806897,49.1771870769065
55,98.3637814714908,96.9199117690949,95.1320703854314,86.6609124099823,77.4907405037077,70.0277484844977,61.2807807570895,55.651646324691,51.515093849505,50.1507685550779
56,99.118530613582,95.8881537110402,92.3171800402988,84.7289127162378,76.1855779844259,72.0661122112739,62.252092670483,54.7777717217199,50.3260041970983,49.2552262601857
57,101.505550494959,97.6642113710058,91.5457498693854,85.9193150682963,75.3719308977309,71.3643101673506,61.3829396016413,55.5646144834975,50.9795667635268,49.9809220277734
58,98.9981684960847,96.2738879471908,94.8911123983565,87.499151956571,74.0740668756336,72.2424384606606,60.7997896640389,54.0155060857131,49.4643463228141,50.5734185490707
59,101.378128615739,97.3932784729163,91.9349743631462,86.0191627131541,77.2509140894505,73.082124805718,62.2127159909891,55.4616758646251,51.721217336634,51.1374909557215
60,100.263854152843,99.9284217532237,93.1338393499116,85.5546353316894,76.3244617116731,72.8001379745262,63.2184780590301,56.1091466499808,50.5862584532267,50.6559208499445
